content,score,at
Review: Please add a feature to book retiring rooms directly from the app. It would be very helpful for long journeys. Also allow us to order food on train via the app. Really disappointed.,3,2024-09-04
"I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money. This has happened twice now.",3,2024-09-04
The PNR status shown in the app is delayed by 2 hours compared to the official railway website. I almost missed my train because it showed 'Waiting' when it was actually 'Confirmed'.,5,2024-09-05
"Feedback: The app showed a price of 500 when booking, but at the payment gateway it suddenly added a 'convenience fee' and 'agent fee' making it 850. This is deceptive pricing and completely unacceptable. Fix this immediately.",4,2024-09-05
"I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money. This has happened twice now.",4,2024-09-05
"Review: Honestly the best travel app out there. The UI is smooth, refunds are instant usually, and the prediction feature is 99% accurate. Love the dark mode feature as well. Really disappointed.",3,2024-09-05
"Feedback: The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information. Fix this immediately.",1,2024-09-05
"I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money.",5,2024-09-05
Money was deducted from my bank account but the ticket was not booked. The money hasn't been refunded to my Ixigo money wallet either. Transaction ID #8829102. This has happened twice now.,4,2024-09-06
The new interface update is terrible. It is so hard to find the 'My Bookings' section now. Why change something that was working perfectly fine? The fonts are also too small.,3,2024-09-06
"Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code. This has happened twice now.",3,2024-09-06
I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance.,4,2024-09-07
"The app showed a price of 500 when booking, but at the payment gateway it suddenly added a 'convenience fee' and 'agent fee' making it 850. This is deceptive pricing and completely unacceptable. This has happened twice now.",2,2024-09-07
The amount of popup ads is ridiculous. I accidentally clicked an ad while trying to check my train status. It ruins the user experience completely. Please reduce the ad frequency.,4,2024-09-07
"Feedback: The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information. Fix this immediately.",2,2024-09-08
"I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money. This has happened twice now.",4,2024-09-08
The amount of popup ads is ridiculous. I accidentally clicked an ad while trying to check my train status. It ruins the user experience completely. Please reduce the ad frequency. This has happened twice now.,3,2024-09-08
"Every time I reach the final payment step, the app freezes and crashes. I have updated to the latest version and cleared cache but the bug persists. I lost my booking chance because of this.",2,2024-09-08
Please add a feature to book retiring rooms directly from the app. It would be very helpful for long journeys. Also allow us to order food on train via the app.,1,2024-09-09
"Every time I reach the final payment step, the app freezes and crashes. I have updated to the latest version and cleared cache but the bug persists. I lost my booking chance because of this. This has happened twice now.",4,2024-09-09
"Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code. This has happened twice now.",2,2024-09-09
Keep getting 'Server Request Timed Out' error whenever I search for trains between Delhi and Mumbai. My internet connection is fine (WiFi). Is your backend down? This has happened twice now.,2,2024-09-09
Review: Keep getting 'Server Request Timed Out' error whenever I search for trains between Delhi and Mumbai. My internet connection is fine (WiFi). Is your backend down? Really disappointed.,3,2024-09-10
"Feedback: Every time I reach the final payment step, the app freezes and crashes. I have updated to the latest version and cleared cache but the bug persists. I lost my booking chance because of this. Fix this immediately.",1,2024-09-10
"Review: The app showed a price of 500 when booking, but at the payment gateway it suddenly added a 'convenience fee' and 'agent fee' making it 850. This is deceptive pricing and completely unacceptable. Really disappointed.",5,2024-09-10
"Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code.",3,2024-09-11
"Review: The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information. Really disappointed.",2,2024-09-11
"Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code. This has happened twice now.",5,2024-09-11
The new interface update is terrible. It is so hard to find the 'My Bookings' section now. Why change something that was working perfectly fine? The fonts are also too small. This has happened twice now.,3,2024-09-11
I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance. This has happened twice now.,4,2024-09-12
"The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information. This has happened twice now.",4,2024-09-12
"Feedback: The app is too slow for Tatkal. By the time the page loads, all tickets are gone. Other apps are much faster. You need to improve the latency for peak hours. Fix this immediately.",3,2024-09-12
The PNR status shown in the app is delayed by 2 hours compared to the official railway website. I almost missed my train because it showed 'Waiting' when it was actually 'Confirmed'. This has happened twice now.,5,2024-09-12
"The app is too slow for Tatkal. By the time the page loads, all tickets are gone. Other apps are much faster. You need to improve the latency for peak hours. This has happened twice now.",5,2024-09-13
"The app showed a price of 500 when booking, but at the payment gateway it suddenly added a 'convenience fee' and 'agent fee' making it 850. This is deceptive pricing and completely unacceptable. This has happened twice now.",4,2024-09-13
"Review: I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money. Really disappointed.",2,2024-09-14
Money was deducted from my bank account but the ticket was not booked. The money hasn't been refunded to my Ixigo money wallet either. Transaction ID #8829102. This has happened twice now.,4,2024-09-14
Feedback: I spoke to an agent regarding my cancellation and they were extremely rude and unhelpful. They hung up on me while I was explaining the technical glitch I faced. Fix this immediately.,3,2024-09-14
Feedback: I spoke to an agent regarding my cancellation and they were extremely rude and unhelpful. They hung up on me while I was explaining the technical glitch I faced. Fix this immediately.,5,2024-09-14
Please add a feature to book retiring rooms directly from the app. It would be very helpful for long journeys. Also allow us to order food on train via the app.,1,2024-09-14
I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance. This has happened twice now.,3,2024-09-14
Please add a feature to book retiring rooms directly from the app. It would be very helpful for long journeys. Also allow us to order food on train via the app.,3,2024-09-15
"Feedback: I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money. Fix this immediately.",4,2024-09-15
"Feedback: The app is too slow for Tatkal. By the time the page loads, all tickets are gone. Other apps are much faster. You need to improve the latency for peak hours. Fix this immediately.",5,2024-09-16
Review: Money was deducted from my bank account but the ticket was not booked. The money hasn't been refunded to my Ixigo money wallet either. Transaction ID #8829102. Really disappointed.,3,2024-09-17
Review: Please add a feature to book retiring rooms directly from the app. It would be very helpful for long journeys. Also allow us to order food on train via the app. Really disappointed.,1,2024-09-17
"Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code. This has happened twice now.",2,2024-09-17
"The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information.",5,2024-09-17
"Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code.",3,2024-09-17
"The app showed a price of 500 when booking, but at the payment gateway it suddenly added a 'convenience fee' and 'agent fee' making it 850. This is deceptive pricing and completely unacceptable.",3,2024-09-17
"I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money.",2,2024-09-18
I spoke to an agent regarding my cancellation and they were extremely rude and unhelpful. They hung up on me while I was explaining the technical glitch I faced. This has happened twice now.,4,2024-09-18
"I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money.",2,2024-09-18
"The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information. This has happened twice now.",4,2024-09-18
"Review: Every time I reach the final payment step, the app freezes and crashes. I have updated to the latest version and cleared cache but the bug persists. I lost my booking chance because of this. Really disappointed.",2,2024-09-19
"The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information.",3,2024-09-19
"Honestly the best travel app out there. The UI is smooth, refunds are instant usually, and the prediction feature is 99% accurate. Love the dark mode feature as well. This has happened twice now.",5,2024-09-19
Feedback: The PNR status shown in the app is delayed by 2 hours compared to the official railway website. I almost missed my train because it showed 'Waiting' when it was actually 'Confirmed'. Fix this immediately.,1,2024-09-20
"Honestly the best travel app out there. The UI is smooth, refunds are instant usually, and the prediction feature is 99% accurate. Love the dark mode feature as well.",4,2024-09-20
"Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code.",3,2024-09-20
I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance. This has happened twice now.,1,2024-09-20
I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance. This has happened twice now.,2,2024-09-20
Feedback: The PNR status shown in the app is delayed by 2 hours compared to the official railway website. I almost missed my train because it showed 'Waiting' when it was actually 'Confirmed'. Fix this immediately.,3,2024-09-20
Review: The PNR status shown in the app is delayed by 2 hours compared to the official railway website. I almost missed my train because it showed 'Waiting' when it was actually 'Confirmed'. Really disappointed.,1,2024-09-20
The amount of popup ads is ridiculous. I accidentally clicked an ad while trying to check my train status. It ruins the user experience completely. Please reduce the ad frequency. This has happened twice now.,2,2024-09-21
"Feedback: The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information. Fix this immediately.",2,2024-09-21
"The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information. This has happened twice now.",3,2024-09-21
Review: Money was deducted from my bank account but the ticket was not booked. The money hasn't been refunded to my Ixigo money wallet either. Transaction ID #8829102. Really disappointed.,4,2024-09-21
"Feedback: I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money. Fix this immediately.",3,2024-09-22
"Feedback: Honestly the best travel app out there. The UI is smooth, refunds are instant usually, and the prediction feature is 99% accurate. Love the dark mode feature as well. Fix this immediately.",3,2024-09-22
The PNR status shown in the app is delayed by 2 hours compared to the official railway website. I almost missed my train because it showed 'Waiting' when it was actually 'Confirmed'. This has happened twice now.,1,2024-09-22
Review: Please add a feature to book retiring rooms directly from the app. It would be very helpful for long journeys. Also allow us to order food on train via the app. Really disappointed.,3,2024-09-22
"Honestly the best travel app out there. The UI is smooth, refunds are instant usually, and the prediction feature is 99% accurate. Love the dark mode feature as well. This has happened twice now.",2,2024-09-22
Money was deducted from my bank account but the ticket was not booked. The money hasn't been refunded to my Ixigo money wallet either. Transaction ID #8829102.,3,2024-09-23
"Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code. This has happened twice now.",3,2024-09-23
Review: I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance. Really disappointed.,3,2024-09-24
"Feedback: Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code. Fix this immediately.",3,2024-09-24
Review: Please add a feature to book retiring rooms directly from the app. It would be very helpful for long journeys. Also allow us to order food on train via the app. Really disappointed.,5,2024-09-24
The amount of popup ads is ridiculous. I accidentally clicked an ad while trying to check my train status. It ruins the user experience completely. Please reduce the ad frequency. This has happened twice now.,2,2024-09-24
"The app showed a price of 500 when booking, but at the payment gateway it suddenly added a 'convenience fee' and 'agent fee' making it 850. This is deceptive pricing and completely unacceptable.",4,2024-09-24
"The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information.",3,2024-09-24
"I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money. This has happened twice now.",4,2024-09-25
"Review: I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money. Really disappointed.",4,2024-09-25
"Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code.",4,2024-09-25
I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance.,1,2024-09-25
Review: Please add a feature to book retiring rooms directly from the app. It would be very helpful for long journeys. Also allow us to order food on train via the app. Really disappointed.,4,2024-09-26
"I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money.",3,2024-09-26
Feedback: I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance. Fix this immediately.,2,2024-09-26
"Feedback: I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money. Fix this immediately.",1,2024-09-26
Review: I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance. Really disappointed.,2,2024-09-26
Feedback: Please add a feature to book retiring rooms directly from the app. It would be very helpful for long journeys. Also allow us to order food on train via the app. Fix this immediately.,4,2024-09-27
Review: Money was deducted from my bank account but the ticket was not booked. The money hasn't been refunded to my Ixigo money wallet either. Transaction ID #8829102. Really disappointed.,4,2024-09-27
"I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money. This has happened twice now.",5,2024-09-27
"Review: The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information. Really disappointed.",4,2024-09-27
Feedback: I spoke to an agent regarding my cancellation and they were extremely rude and unhelpful. They hung up on me while I was explaining the technical glitch I faced. Fix this immediately.,3,2024-09-28
I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance.,1,2024-09-28
"Feedback: The app showed a price of 500 when booking, but at the payment gateway it suddenly added a 'convenience fee' and 'agent fee' making it 850. This is deceptive pricing and completely unacceptable. Fix this immediately.",3,2024-09-28
I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance. This has happened twice now.,4,2024-09-28
Review: Please add a feature to book retiring rooms directly from the app. It would be very helpful for long journeys. Also allow us to order food on train via the app. Really disappointed.,5,2024-09-28
"Review: Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code. Really disappointed.",5,2024-09-28
"Honestly the best travel app out there. The UI is smooth, refunds are instant usually, and the prediction feature is 99% accurate. Love the dark mode feature as well.",3,2024-09-28
"Review: Honestly the best travel app out there. The UI is smooth, refunds are instant usually, and the prediction feature is 99% accurate. Love the dark mode feature as well. Really disappointed.",1,2024-09-29
Review: Keep getting 'Server Request Timed Out' error whenever I search for trains between Delhi and Mumbai. My internet connection is fine (WiFi). Is your backend down? Really disappointed.,2,2024-09-29
Feedback: I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance. Fix this immediately.,1,2024-09-29
"Every time I reach the final payment step, the app freezes and crashes. I have updated to the latest version and cleared cache but the bug persists. I lost my booking chance because of this.",1,2024-09-30
"Feedback: Every time I reach the final payment step, the app freezes and crashes. I have updated to the latest version and cleared cache but the bug persists. I lost my booking chance because of this. Fix this immediately.",4,2024-09-30
Feedback: I spoke to an agent regarding my cancellation and they were extremely rude and unhelpful. They hung up on me while I was explaining the technical glitch I faced. Fix this immediately.,1,2024-10-01
Feedback: Please add a feature to book retiring rooms directly from the app. It would be very helpful for long journeys. Also allow us to order food on train via the app. Fix this immediately.,3,2024-10-01
Review: Money was deducted from my bank account but the ticket was not booked. The money hasn't been refunded to my Ixigo money wallet either. Transaction ID #8829102. Really disappointed.,3,2024-10-01
"Every time I reach the final payment step, the app freezes and crashes. I have updated to the latest version and cleared cache but the bug persists. I lost my booking chance because of this.",2,2024-10-01
The new interface update is terrible. It is so hard to find the 'My Bookings' section now. Why change something that was working perfectly fine? The fonts are also too small. This has happened twice now.,5,2024-10-02
Feedback: The new interface update is terrible. It is so hard to find the 'My Bookings' section now. Why change something that was working perfectly fine? The fonts are also too small. Fix this immediately.,3,2024-10-02
"Every time I reach the final payment step, the app freezes and crashes. I have updated to the latest version and cleared cache but the bug persists. I lost my booking chance because of this. This has happened twice now.",5,2024-10-02
"Review: The app showed a price of 500 when booking, but at the payment gateway it suddenly added a 'convenience fee' and 'agent fee' making it 850. This is deceptive pricing and completely unacceptable. Really disappointed.",5,2024-10-03
"Every time I reach the final payment step, the app freezes and crashes. I have updated to the latest version and cleared cache but the bug persists. I lost my booking chance because of this.",3,2024-10-03
"Review: I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money. Really disappointed.",4,2024-10-03
Money was deducted from my bank account but the ticket was not booked. The money hasn't been refunded to my Ixigo money wallet either. Transaction ID #8829102. This has happened twice now.,4,2024-10-04
"Review: The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information. Really disappointed.",3,2024-10-04
The new interface update is terrible. It is so hard to find the 'My Bookings' section now. Why change something that was working perfectly fine? The fonts are also too small. This has happened twice now.,1,2024-10-04
"Review: Every time I reach the final payment step, the app freezes and crashes. I have updated to the latest version and cleared cache but the bug persists. I lost my booking chance because of this. Really disappointed.",3,2024-10-05
Keep getting 'Server Request Timed Out' error whenever I search for trains between Delhi and Mumbai. My internet connection is fine (WiFi). Is your backend down?,4,2024-10-05
I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance.,5,2024-10-05
"Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code. This has happened twice now.",5,2024-10-05
Money was deducted from my bank account but the ticket was not booked. The money hasn't been refunded to my Ixigo money wallet either. Transaction ID #8829102.,3,2024-10-05
"The app is too slow for Tatkal. By the time the page loads, all tickets are gone. Other apps are much faster. You need to improve the latency for peak hours. This has happened twice now.",1,2024-10-05
"I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money.",5,2024-10-05
"Review: The app is too slow for Tatkal. By the time the page loads, all tickets are gone. Other apps are much faster. You need to improve the latency for peak hours. Really disappointed.",1,2024-10-06
"Review: The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information. Really disappointed.",3,2024-10-06
Review: I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance. Really disappointed.,2,2024-10-06
"I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money.",1,2024-10-07
Review: The PNR status shown in the app is delayed by 2 hours compared to the official railway website. I almost missed my train because it showed 'Waiting' when it was actually 'Confirmed'. Really disappointed.,4,2024-10-07
"The app showed a price of 500 when booking, but at the payment gateway it suddenly added a 'convenience fee' and 'agent fee' making it 850. This is deceptive pricing and completely unacceptable.",3,2024-10-07
"Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code. This has happened twice now.",5,2024-10-07
Feedback: Money was deducted from my bank account but the ticket was not booked. The money hasn't been refunded to my Ixigo money wallet either. Transaction ID #8829102. Fix this immediately.,3,2024-10-08
"Feedback: I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money. Fix this immediately.",1,2024-10-08
"The app showed a price of 500 when booking, but at the payment gateway it suddenly added a 'convenience fee' and 'agent fee' making it 850. This is deceptive pricing and completely unacceptable.",1,2024-10-08
Review: The new interface update is terrible. It is so hard to find the 'My Bookings' section now. Why change something that was working perfectly fine? The fonts are also too small. Really disappointed.,3,2024-10-08
I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance. This has happened twice now.,2,2024-10-08
"I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money.",1,2024-10-08
"Review: The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information. Really disappointed.",5,2024-10-08
"Feedback: Honestly the best travel app out there. The UI is smooth, refunds are instant usually, and the prediction feature is 99% accurate. Love the dark mode feature as well. Fix this immediately.",3,2024-10-09
The PNR status shown in the app is delayed by 2 hours compared to the official railway website. I almost missed my train because it showed 'Waiting' when it was actually 'Confirmed'. This has happened twice now.,5,2024-10-09
Review: The amount of popup ads is ridiculous. I accidentally clicked an ad while trying to check my train status. It ruins the user experience completely. Please reduce the ad frequency. Really disappointed.,5,2024-10-09
Keep getting 'Server Request Timed Out' error whenever I search for trains between Delhi and Mumbai. My internet connection is fine (WiFi). Is your backend down? This has happened twice now.,2,2024-10-09
Money was deducted from my bank account but the ticket was not booked. The money hasn't been refunded to my Ixigo money wallet either. Transaction ID #8829102.,1,2024-10-09
"Review: The app showed a price of 500 when booking, but at the payment gateway it suddenly added a 'convenience fee' and 'agent fee' making it 850. This is deceptive pricing and completely unacceptable. Really disappointed.",5,2024-10-09
"The app is too slow for Tatkal. By the time the page loads, all tickets are gone. Other apps are much faster. You need to improve the latency for peak hours.",5,2024-10-09
"The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information.",2,2024-10-10
Feedback: The amount of popup ads is ridiculous. I accidentally clicked an ad while trying to check my train status. It ruins the user experience completely. Please reduce the ad frequency. Fix this immediately.,5,2024-10-10
"Feedback: I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money. Fix this immediately.",1,2024-10-10
The amount of popup ads is ridiculous. I accidentally clicked an ad while trying to check my train status. It ruins the user experience completely. Please reduce the ad frequency.,1,2024-10-10
Keep getting 'Server Request Timed Out' error whenever I search for trains between Delhi and Mumbai. My internet connection is fine (WiFi). Is your backend down?,4,2024-10-10
I spoke to an agent regarding my cancellation and they were extremely rude and unhelpful. They hung up on me while I was explaining the technical glitch I faced.,3,2024-10-10
I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance. This has happened twice now.,1,2024-10-11
"I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money. This has happened twice now.",3,2024-10-11
"The app showed a price of 500 when booking, but at the payment gateway it suddenly added a 'convenience fee' and 'agent fee' making it 850. This is deceptive pricing and completely unacceptable. This has happened twice now.",2,2024-10-11
Feedback: I spoke to an agent regarding my cancellation and they were extremely rude and unhelpful. They hung up on me while I was explaining the technical glitch I faced. Fix this immediately.,2,2024-10-11
"Feedback: The app showed a price of 500 when booking, but at the payment gateway it suddenly added a 'convenience fee' and 'agent fee' making it 850. This is deceptive pricing and completely unacceptable. Fix this immediately.",4,2024-10-12
"Feedback: The app is too slow for Tatkal. By the time the page loads, all tickets are gone. Other apps are much faster. You need to improve the latency for peak hours. Fix this immediately.",1,2024-10-13
Please add a feature to book retiring rooms directly from the app. It would be very helpful for long journeys. Also allow us to order food on train via the app.,4,2024-10-13
"Review: Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code. Really disappointed.",3,2024-10-13
I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance.,5,2024-10-13
"I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money.",3,2024-10-13
"The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information.",1,2024-10-14
"Feedback: Honestly the best travel app out there. The UI is smooth, refunds are instant usually, and the prediction feature is 99% accurate. Love the dark mode feature as well. Fix this immediately.",3,2024-10-14
The new interface update is terrible. It is so hard to find the 'My Bookings' section now. Why change something that was working perfectly fine? The fonts are also too small. This has happened twice now.,5,2024-10-14
I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance. This has happened twice now.,5,2024-10-14
Please add a feature to book retiring rooms directly from the app. It would be very helpful for long journeys. Also allow us to order food on train via the app.,4,2024-10-14
"Feedback: Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code. Fix this immediately.",4,2024-10-15
I spoke to an agent regarding my cancellation and they were extremely rude and unhelpful. They hung up on me while I was explaining the technical glitch I faced.,4,2024-10-15
Feedback: The amount of popup ads is ridiculous. I accidentally clicked an ad while trying to check my train status. It ruins the user experience completely. Please reduce the ad frequency. Fix this immediately.,5,2024-10-15
"Feedback: Honestly the best travel app out there. The UI is smooth, refunds are instant usually, and the prediction feature is 99% accurate. Love the dark mode feature as well. Fix this immediately.",2,2024-10-16
"Feedback: Honestly the best travel app out there. The UI is smooth, refunds are instant usually, and the prediction feature is 99% accurate. Love the dark mode feature as well. Fix this immediately.",5,2024-10-16
"I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money. This has happened twice now.",1,2024-10-16
Review: The PNR status shown in the app is delayed by 2 hours compared to the official railway website. I almost missed my train because it showed 'Waiting' when it was actually 'Confirmed'. Really disappointed.,5,2024-10-16
I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance.,4,2024-10-16
"Feedback: The app showed a price of 500 when booking, but at the payment gateway it suddenly added a 'convenience fee' and 'agent fee' making it 850. This is deceptive pricing and completely unacceptable. Fix this immediately.",3,2024-10-16
The new interface update is terrible. It is so hard to find the 'My Bookings' section now. Why change something that was working perfectly fine? The fonts are also too small. This has happened twice now.,4,2024-10-16
"Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code. This has happened twice now.",5,2024-10-17
"Review: The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information. Really disappointed.",3,2024-10-17
The PNR status shown in the app is delayed by 2 hours compared to the official railway website. I almost missed my train because it showed 'Waiting' when it was actually 'Confirmed'.,1,2024-10-17
Feedback: The amount of popup ads is ridiculous. I accidentally clicked an ad while trying to check my train status. It ruins the user experience completely. Please reduce the ad frequency. Fix this immediately.,4,2024-10-17
"I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money.",2,2024-10-17
"Every time I reach the final payment step, the app freezes and crashes. I have updated to the latest version and cleared cache but the bug persists. I lost my booking chance because of this.",4,2024-10-17
Review: I spoke to an agent regarding my cancellation and they were extremely rude and unhelpful. They hung up on me while I was explaining the technical glitch I faced. Really disappointed.,4,2024-10-17
"Honestly the best travel app out there. The UI is smooth, refunds are instant usually, and the prediction feature is 99% accurate. Love the dark mode feature as well.",5,2024-10-18
"Feedback: The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information. Fix this immediately.",2,2024-10-18
I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance.,1,2024-10-18
"Review: Every time I reach the final payment step, the app freezes and crashes. I have updated to the latest version and cleared cache but the bug persists. I lost my booking chance because of this. Really disappointed.",5,2024-10-18
Feedback: The PNR status shown in the app is delayed by 2 hours compared to the official railway website. I almost missed my train because it showed 'Waiting' when it was actually 'Confirmed'. Fix this immediately.,5,2024-10-19
Feedback: The amount of popup ads is ridiculous. I accidentally clicked an ad while trying to check my train status. It ruins the user experience completely. Please reduce the ad frequency. Fix this immediately.,2,2024-10-19
